id name Rista Advanced
id author Developer
uciok
info string Move b7c6 score -165
info string Move b8c6 score -90
DEBUG PST: piece=6 mat=20000 sq=25 is_add=0 material=-25600
DEBUG PST: piece=6 mat=20000 sq=35 is_add=0 material=-25600
DEBUG PST: piece=6 mat=20000 sq=25 is_add=0 material=-25600
DEBUG PST: piece=6 mat=20000 sq=35 is_add=0 material=-25600
DEBUG PST: piece=6 mat=20000 sq=25 is_add=0 material=-25600
DEBUG PST: piece=6 mat=20000 sq=35 is_add=0 material=-25600
DEBUG PST: piece=6 mat=20000 sq=25 is_add=0 material=-27000
DEBUG PST: piece=6 mat=20000 sq=35 is_add=0 material=-27000
DEBUG PST: piece=6 mat=20000 sq=25 is_add=0 material=-27200
DEBUG PST: piece=6 mat=20000 sq=35 is_add=0 material=-27200
DEBUG PST: piece=6 mat=20000 sq=25 is_add=0 material=-27400
DEBUG PST: piece=6 mat=20000 sq=35 is_add=0 material=-27400
DEBUG PST: piece=6 mat=20000 sq=25 is_add=0 material=-27600
DEBUG PST: piece=6 mat=20000 sq=35 is_add=0 material=-27600
DEBUG PST: piece=6 mat=20000 sq=25 is_add=0 material=-27800
DEBUG PST: piece=6 mat=20000 sq=35 is_add=0 material=-27800
DEBUG PST: piece=6 mat=20000 sq=25 is_add=0 material=-26700
DEBUG PST: piece=-3 mat=-330 sq=36 is_add=0 material=-26370
DEBUG PST: piece=6 mat=20000 sq=36 is_add=0 material=-26370
DEBUG PST: piece=6 mat=20000 sq=25 is_add=0 material=-28000
DEBUG PST: piece=6 mat=20000 sq=35 is_add=0 material=-28000
DEBUG PST: piece=6 mat=20000 sq=25 is_add=0 material=-28200
DEBUG PST: piece=6 mat=20000 sq=35 is_add=0 material=-28200
DEBUG PST: piece=6 mat=20000 sq=25 is_add=0 material=-28400
DEBUG PST: piece=6 mat=20000 sq=35 is_add=0 material=-28400
DEBUG PST: piece=6 mat=20000 sq=25 is_add=0 material=-28600
DEBUG PST: piece=6 mat=20000 sq=35 is_add=0 material=-28600
DEBUG PST: piece=6 mat=20000 sq=25 is_add=0 material=-28800
DEBUG PST: piece=6 mat=20000 sq=35 is_add=0 material=-28800
DEBUG PST: piece=6 mat=20000 sq=25 is_add=0 material=-29000
DEBUG PST: piece=6 mat=20000 sq=35 is_add=0 material=-29000
DEBUG PST: piece=6 mat=20000 sq=25 is_add=0 material=-29200
DEBUG PST: piece=6 mat=20000 sq=35 is_add=0 material=-29200
DEBUG PST: piece=6 mat=20000 sq=25 is_add=0 material=-29200
DEBUG PST: piece=6 mat=20000 sq=35 is_add=0 material=-29200
DEBUG PST: piece=6 mat=20000 sq=25 is_add=0 material=-29200
DEBUG PST: piece=6 mat=20000 sq=24 is_add=0 material=-29200
DEBUG PST: piece=6 mat=20000 sq=25 is_add=0 material=-29200
DEBUG PST: piece=6 mat=20000 sq=35 is_add=0 material=-29200
DEBUG PST: piece=6 mat=20000 sq=25 is_add=0 material=-29200
DEBUG PST: piece=6 mat=20000 sq=24 is_add=0 material=-29200
DEBUG PST: piece=6 mat=20000 sq=25 is_add=0 material=-29200
DEBUG PST: piece=6 mat=20000 sq=35 is_add=0 material=-29200
DEBUG PST: piece=6 mat=20000 sq=25 is_add=0 material=-29200
DEBUG PST: piece=6 mat=20000 sq=24 is_add=0 material=-29200
DEBUG PST: piece=6 mat=20000 sq=25 is_add=0 material=-29100
DEBUG PST: piece=6 mat=20000 sq=35 is_add=0 material=-29200
DEBUG PST: piece=6 mat=20000 sq=25 is_add=0 material=-29200
DEBUG PST: piece=6 mat=20000 sq=35 is_add=0 material=-29200
DEBUG PST: piece=6 mat=20000 sq=44 is_add=0 material=-29200
DEBUG PST: piece=6 mat=20000 sq=35 is_add=0 material=-29200
DEBUG PST: piece=6 mat=20000 sq=45 is_add=0 material=-29200
DEBUG PST: piece=6 mat=20000 sq=35 is_add=0 material=-29200
DEBUG PST: piece=6 mat=20000 sq=46 is_add=0 material=-29200
DEBUG PST: piece=6 mat=20000 sq=35 is_add=0 material=-29100
DEBUG PST: piece=6 mat=20000 sq=25 is_add=0 material=-29200
DEBUG PST: piece=6 mat=20000 sq=26 is_add=0 material=-29200
DEBUG PST: piece=6 mat=20000 sq=25 is_add=0 material=-29200
DEBUG PST: piece=6 mat=20000 sq=26 is_add=0 material=-29200
DEBUG PST: piece=6 mat=20000 sq=25 is_add=0 material=-29200
DEBUG PST: piece=6 mat=20000 sq=35 is_add=0 material=-29200
DEBUG PST: piece=6 mat=20000 sq=25 is_add=0 material=-29200
DEBUG PST: piece=6 mat=20000 sq=26 is_add=0 material=-29200
DEBUG PST: piece=6 mat=20000 sq=25 is_add=0 material=-29200
DEBUG PST: piece=6 mat=20000 sq=35 is_add=0 material=-29200
DEBUG PST: piece=6 mat=20000 sq=25 is_add=0 material=-29200
DEBUG PST: piece=6 mat=20000 sq=26 is_add=0 material=-29200
DEBUG PST: piece=6 mat=20000 sq=25 is_add=0 material=-29200
DEBUG PST: piece=6 mat=20000 sq=35 is_add=0 material=-29200
DEBUG PST: piece=6 mat=20000 sq=25 is_add=0 material=-29430
DEBUG PST: piece=6 mat=20000 sq=26 is_add=0 material=-29430
DEBUG PST: piece=6 mat=20000 sq=25 is_add=0 material=-29430
DEBUG PST: piece=6 mat=20000 sq=35 is_add=0 material=-29430
DEBUG PST: piece=6 mat=20000 sq=25 is_add=0 material=-29200
DEBUG PST: piece=6 mat=20000 sq=24 is_add=0 material=-29200
DEBUG PST: piece=6 mat=20000 sq=25 is_add=0 material=-29200
DEBUG PST: piece=6 mat=20000 sq=35 is_add=0 material=-29200
DEBUG PST: piece=6 mat=20000 sq=25 is_add=0 material=-29200
DEBUG PST: piece=6 mat=20000 sq=35 is_add=0 material=-29200
DEBUG PST: piece=6 mat=20000 sq=25 is_add=0 material=-29200
DEBUG PST: piece=6 mat=20000 sq=35 is_add=0 material=-29200
DEBUG PST: piece=6 mat=20000 sq=25 is_add=0 material=-29200
DEBUG PST: piece=6 mat=20000 sq=35 is_add=0 material=-29200
DEBUG PST: piece=6 mat=20000 sq=25 is_add=0 material=-29200
DEBUG PST: piece=6 mat=20000 sq=35 is_add=0 material=-29200
DEBUG PST: piece=6 mat=20000 sq=25 is_add=0 material=-29200
DEBUG PST: piece=6 mat=20000 sq=35 is_add=0 material=-29200
DEBUG PST: piece=6 mat=20000 sq=25 is_add=0 material=-29200
DEBUG PST: piece=6 mat=20000 sq=35 is_add=0 material=-29200
DEBUG PST: piece=6 mat=20000 sq=25 is_add=0 material=-29200
DEBUG PST: piece=6 mat=20000 sq=34 is_add=0 material=-29200
DEBUG PST: piece=6 mat=20000 sq=25 is_add=0 material=-29200
DEBUG PST: piece=6 mat=20000 sq=35 is_add=0 material=-29200
DEBUG PST: piece=6 mat=20000 sq=25 is_add=0 material=-29200
DEBUG PST: piece=6 mat=20000 sq=34 is_add=0 material=-29200
DEBUG PST: piece=6 mat=20000 sq=25 is_add=0 material=-29200
DEBUG PST: piece=6 mat=20000 sq=35 is_add=0 material=-29200
DEBUG PST: piece=6 mat=20000 sq=25 is_add=0 material=-29200
DEBUG PST: piece=6 mat=20000 sq=34 is_add=0 material=-29200
DEBUG PST: piece=6 mat=20000 sq=25 is_add=0 material=-29200
DEBUG PST: piece=6 mat=20000 sq=35 is_add=0 material=-29200
DEBUG PST: piece=6 mat=20000 sq=25 is_add=0 material=-29200
DEBUG PST: piece=6 mat=20000 sq=34 is_add=0 material=-29200
DEBUG PST: piece=6 mat=20000 sq=25 is_add=0 material=-29200
DEBUG PST: piece=6 mat=20000 sq=35 is_add=0 material=-29200
DEBUG PST: piece=6 mat=20000 sq=25 is_add=0 material=-29200
DEBUG PST: piece=6 mat=20000 sq=34 is_add=0 material=-29200
DEBUG PST: piece=6 mat=20000 sq=25 is_add=0 material=-29200
DEBUG PST: piece=6 mat=20000 sq=35 is_add=0 material=-29200
DEBUG PST: piece=6 mat=20000 sq=25 is_add=0 material=-29200
DEBUG PST: piece=6 mat=20000 sq=35 is_add=0 material=-29200
DEBUG PST: piece=6 mat=20000 sq=25 is_add=0 material=-29200
DEBUG PST: piece=6 mat=20000 sq=36 is_add=0 material=-29200
DEBUG PST: piece=6 mat=20000 sq=25 is_add=0 material=-29200
DEBUG PST: piece=6 mat=20000 sq=35 is_add=0 material=-29200
DEBUG PST: piece=6 mat=20000 sq=25 is_add=0 material=-29200
DEBUG PST: piece=6 mat=20000 sq=36 is_add=0 material=-29200
DEBUG PST: piece=6 mat=20000 sq=25 is_add=0 material=-29200
DEBUG PST: piece=6 mat=20000 sq=35 is_add=0 material=-29200
